title,company,location,date,link
Jr. Data Entry Operator,WADIC,"Lahore, Punjab, Pakistan",4 weeks ago,https://www.linkedin.comhttps://pk.linkedin.com/jobs/view/jr-data-entry-operator-at-wadic-4248752976?position=1&pageNum=0&refId=Ew4lvl68V2zRPepM72zGyw%3D%3D&trackingId=0%2B7ypgg5KWe3l8%2Bf5jEf6w%3D%3D
Virtual Assistant,Xeebec NSM,"Rawalpindi, Punjab, Pakistan",6 hours ago,https://www.linkedin.comhttps://pk.linkedin.com/jobs/view/virtual-assistant-at-xeebec-nsm-4263830935?position=2&pageNum=0&refId=Ew4lvl68V2zRPepM72zGyw%3D%3D&trackingId=94cXWLU4NNDBCboK7ANmHg%3D%3D
ADMINISTRATIVE ASSISTANT,KILONEWTONS,"Karachi Division, Sindh, Pakistan",2 days ago,https://www.linkedin.comhttps://pk.linkedin.com/jobs/view/administrative-assistant-at-kilonewtons-4264678327?position=3&pageNum=0&refId=Ew4lvl68V2zRPepM72zGyw%3D%3D&trackingId=3huIGBxN8G3DuvqbF2%2F%2BYw%3D%3D
********* *********,*****,"******, ******, ********",4 days ago,https://www.linkedin.comhttps://pk.linkedin.com/jobs/view/executive-assistant-at-wadic-4262813933?position=4&pageNum=0&refId=Ew4lvl68V2zRPepM72zGyw%3D%3D&trackingId=BcHy7bXV4PCG6jn3zLA0mw%3D%3D
**********,**********,********,5 days ago,https://www.linkedin.comhttps://pk.linkedin.com/jobs/view/bookkeeper-at-gigabrands-4259851349?position=5&pageNum=0&refId=Ew4lvl68V2zRPepM72zGyw%3D%3D&trackingId=XBI1q4ZnQXxrxA%2FM2wEHbA%3D%3D
******** ******** **********,****. ********,"***ā***, *****, ********",13 hours ago,https://www.linkedin.comhttps://pk.linkedin.com/jobs/view/customer-services-specialist-at-ibex-pakistan-4238864535?position=6&pageNum=0&refId=Ew4lvl68V2zRPepM72zGyw%3D%3D&trackingId=gM2sGxNTQmX6f3Et3hk%2B%2Fg%3D%3D
************,***********,"******* ********, *****, ********",2 weeks ago,https://www.linkedin.comhttps://pk.linkedin.com/jobs/view/receptionist-at-kilonewtons-4253946409?position=7&pageNum=0&refId=Ew4lvl68V2zRPepM72zGyw%3D%3D&trackingId=j%2F1ZesnbVXQPZXIiPhwUrg%3D%3D
Jr. Data Entry Operator,WADIC,"Lahore, Punjab, Pakistan",4 weeks ago,https://www.linkedin.comhttps://pk.linkedin.com/jobs/view/jr-data-entry-operator-at-wadic-4248752976?position=1&pageNum=0&refId=nu3K57yBJK2PkQGeCWNjpw%3D%3D&trackingId=rLF8fOxWKkkqRcWxYU2kiQ%3D%3D
Virtual Assistant,Xeebec NSM,"Rawalpindi, Punjab, Pakistan",6 hours ago,https://www.linkedin.comhttps://pk.linkedin.com/jobs/view/virtual-assistant-at-xeebec-nsm-4263830935?position=2&pageNum=0&refId=nu3K57yBJK2PkQGeCWNjpw%3D%3D&trackingId=QA83hW4XsI28nMcRAPxTjQ%3D%3D
ADMINISTRATIVE ASSISTANT,KILONEWTONS,"Karachi Division, Sindh, Pakistan",2 days ago,https://www.linkedin.comhttps://pk.linkedin.com/jobs/view/administrative-assistant-at-kilonewtons-4264678327?position=3&pageNum=0&refId=nu3K57yBJK2PkQGeCWNjpw%3D%3D&trackingId=IpdQBtsDIJgucr8WkyN7SQ%3D%3D
********* *********,*****,"******, ******, ********",4 days ago,https://www.linkedin.comhttps://pk.linkedin.com/jobs/view/executive-assistant-at-wadic-4262813933?position=4&pageNum=0&refId=nu3K57yBJK2PkQGeCWNjpw%3D%3D&trackingId=s4xtcnOetzmgmaeJEtSDBw%3D%3D
**********,**********,********,5 days ago,https://www.linkedin.comhttps://pk.linkedin.com/jobs/view/bookkeeper-at-gigabrands-4259851349?position=5&pageNum=0&refId=nu3K57yBJK2PkQGeCWNjpw%3D%3D&trackingId=SHT1vDWa0xYbTJouqhtR0w%3D%3D
